unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,lat2,lon2
13780355,JJ187323,2025-03-19,042Xx W Augusta Blvd,0486,Battery,Domestic Battery Simple,Apartment,False,True,1111,11,37,23,08B,1147998.0,1906332.0,2025,2025-03-27,41.898924497,-87.731856014,41.898924497,-87.731856014
13780539,JJ187640,2025-03-19,010Xx W Glenlake Ave,0610,Burglary,Forcible Entry,Apartment,False,False,2433,24,48,77,05,1167974.0,1940519.0,2025,2025-03-27,41.992327366,-87.657494977,41.992327366,-87.657494977
13780173,JJ187302,2025-03-19,013Xx S Homan Ave,2024,Narcotics,Possess - Heroin (White),Sidewalk,True,False,1021,10,24,29,18,1153924.0,1893204.0,2025,2025-03-27,41.862783844,-87.710439888,41.862783844,-87.710439888
13780686,JJ187963,2025-03-19,055Xx S Homan Ave,0530,Assault,Aggravated - Other Dangerous Weapon,Residence,False,False,822,8,14,63,04A,1154656.0,1867633.0,2025,2025-03-27,41.792599162,-87.708435563,41.792599162,-87.708435563
13780160,JJ187314,2025-03-19,013Xx S Independence Blvd,2024,Narcotics,Possess - Heroin (White),Alley,True,False,1011,10,24,29,18,1151244.0,1893267.0,2025,2025-03-27,41.86300966,-87.720276288,41.86300966,-87.720276288
13780172,JJ187305,2025-03-19,033Xx W Fillmore St,2093,Narcotics,Found Suspect Narcotics,Police Facility / Vehicle Parking Lot,True,False,1134,11,24,29,18,1154228.0,1895173.0,2025,2025-03-27,41.868180939,-87.709271389,41.868180939,-87.709271389
13780182,JJ187311,2025-03-19,012Xx S Pulaski Rd,2024,Narcotics,Possess - Heroin (White),Sidewalk,True,False,1011,10,24,29,18,1149909.0,1894230.0,2025,2025-03-27,41.865678301,-87.725151938,41.865678301,-87.725151938
13780489,JJ187865,2025-03-19,001Xx N Parkside Ave,0890,Theft,From Building,Apartment,False,False,1512,15,29,25,06,1138578.0,1900413.0,2025,2025-03-27,41.88285803,-87.766599362,41.88285803,-87.766599362
13780208,JJ187346,2025-03-19,044Xx W Madison St,0910,Motor Vehicle Theft,Automobile,Parking Lot / Garage (Non Residential),False,False,1113,11,28,26,07,1146810.0,1899646.0,2025,2025-03-27,41.880600138,-87.736390375,41.880600138,-87.736390375
13780458,JJ187626,2025-03-19,067Xx S Paxton Ave,031A,Robbery,Armed - Handgun,Street,False,False,331,3,5,43,03,1192034.0,1860809.0,2025,2025-03-27,41.773046314,-87.571598578,41.773046314,-87.571598578
13780745,JJ187568,2025-03-19,053Xx S Kenwood Ave,0460,Battery,Simple,School - Public Grounds,False,False,234,2,5,41,08B,1185994.0,1870001.0,2025,2025-03-27,41.798414583,-87.593449415,41.798414583,-87.593449415
13780237,JJ187385,2025-03-19,063Xx S Dr Martin Luther King Jr Dr,0710,Theft,Theft From Motor Vehicle,Parking Lot / Garage (Non Residential),False,False,312,3,20,42,06,1180012.0,1862976.0,2025,2025-03-27,41.779276522,-87.615601416,41.779276522,-87.615601416
13781034,JJ187350,2025-03-19,038Xx W Polk St,2820,Other Offense,Telephone Threat,Apartment,False,True,1133,11,24,26,08A,1150880.0,1896091.0,2025,2025-03-27,41.870766167,-87.721538626,41.870766167,-87.721538626
13786748,JJ195266,2025-03-19,027Xx W Jarlath St,0820,Theft,$500 And Under,Residence,False,False,2411,24,50,2,06,1156906.0,1947973.0,2025,2025-03-28,42.013013893,-87.698003243,42.013013893,-87.698003243
13780292,JJ187194,2025-03-19,087Xx S State St,0560,Assault,Simple,Street,False,False,632,6,6,44,08A,1177812.0,1847049.0,2025,2025-03-27,41.735621127,-87.62414813,41.735621127,-87.62414813
13780394,JJ187326,2025-03-19,064Xx S Green St,143A,Weapons Violation,Unlawful Possession - Handgun,Parking Lot / Garage (Non Residential),True,False,723,7,16,68,15,1171741.0,1862237.0,2025,2025-03-27,41.777434056,-87.645945299,41.777434056,-87.645945299
13780979,JJ187333,2025-03-19,010Xx W Addison St,2820,Other Offense,Telephone Threat,Small Retail Store,False,False,1924,19,44,6,08A,1168667.0,1924089.0,2025,2025-03-27,41.947227914,-87.655424114,41.947227914,-87.655424114
13780334,JJ187343,2025-03-19,073Xx S Ridgeland Ave,0560,Assault,Simple,Apartment,True,False,324,3,7,43,08A,1189143.0,1856733.0,2025,2025-03-27,41.761931207,-87.582326542,41.761931207,-87.582326542
13780665,JJ187452,2025-03-19,109Xx S Eberhart Ave,0890,Theft,From Building,Residence - Porch / Hallway,False,False,513,5,9,49,06,1181519.0,1832457.0,2025,2025-03-27,41.695494214,-87.611015701,41.695494214,-87.611015701
13780404,JJ187698,2025-03-19,009Xx W Pershing Rd,5111,Other Offense,Gun Offender - Annual Registration,Gas Station,True,False,915,9,11,60,26,1170549.0,1878980.0,2025,2025-03-27,41.823404728,-87.649827084,41.823404728,-87.649827084
13780977,JJ187405,2025-03-19,048Xx S Ashland Ave,1110,Deceptive Practice,Bogus Check,Bank,False,False,933,9,20,61,11,1166487.0,1872698.0,2025,2025-03-27,41.806253938,-87.664908299,41.806253938,-87.664908299
13780248,JJ187378,2025-03-19,0Xx W Lake St,0460,Battery,Simple,Sidewalk,False,False,111,1,42,32,08B,1175555.0,1901737.0,2025,2025-03-27,41.885740814,-87.630778959,41.885740814,-87.630778959
13780269,JJ187408,2025-03-19,073Xx S Ridgeland Ave,1320,Criminal Damage,To Vehicle,Street,False,False,324,3,7,43,14,1189143.0,1856733.0,2025,2025-03-27,41.761931207,-87.582326542,41.761931207,-87.582326542
